dates,signals,safef,comment
1486011300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486011600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1484639400.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484639700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484640000.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484640900.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641200.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484641800.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484643600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484643900.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644500.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645100.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645700.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646300.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484646900.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647500.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484648100.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484649300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484649600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484650200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484650500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484650800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484651100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484651400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484651700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484652000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484652300.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484708400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.31 | vwap: 2.32}
1484708700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.31 | vwap: 2.32}
1484709300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.3 | vwap: 2.32}
1484709600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.29 | vwap: 2.32}
1484710500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.29 | vwap: 2.32}
1484710800.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484715600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484715900.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484721300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484721600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484721900.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484722200.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.28 | vwap: 2.32}
1484722500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484722800.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484723100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484723400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484732100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484732400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484732700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484733000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484735100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484735400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484735700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484736000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484737200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484737500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484737800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1484738100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.27 | vwap: 2.32}
1485140400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.26 | vwap: 2.31}
1485140700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.26 | vwap: 2.31}
1485141000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.25 | vwap: 2.31}
1485141300.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.25 | vwap: 2.31}
1485141600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.24 | vwap: 2.31}
1485141900.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.24 | vwap: 2.31}
1485142200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.23 | vwap: 2.31}
1485142500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.23 | vwap: 2.31}
1485143400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.23 | vwap: 2.31}
1485143700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.23 | vwap: 2.31}
1485832200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.22 | vwap: 2.3}
1485832500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.22 | vwap: 2.3}
1485856200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.22 | vwap: 2.29}
1485856500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485856800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485857100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485857400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485857700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485858000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1485858300.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485858900.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485859200.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485859500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485859800.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485860100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485860400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.19 | vwap: 2.29}
1485860700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.19 | vwap: 2.29}
1485861000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.19 | vwap: 2.29}
1485861900.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.19 | vwap: 2.29}
1485918000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485918300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485918600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485919800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485920100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485920400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1485920700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
1486009200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486009500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486009800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486010100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486010700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486011000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486011300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.21 | vwap: 2.29}
1486011600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.2 | vwap: 2.29}
